accountType,accountId,enabledInPeopleSoft,enabledInEntraMicrosoft,unusedEntraMicrosoft6Months,unusedEntraMicrosoft12Months,neverUsedEntraMicrosoft,neverUsedPeopleSoft
campus,271,true,true,false,false,false,false
campus,272,true,true,true,true,false,false
campus,273,true,true,true,true,false,false
campus,274,true,true,false,false,false,false
alumni,275,false,true,false,false,true,true
campus,276,true,true,false,false,false,false
alumni,277,false,true,true,false,false,false
campus,278,true,true,false,false,false,false
alumni,279,false,true,true,true,false,false
alumni,280,false,true,false,false,false,false
alumni,281,false,true,true,true,false,true
campus,282,true,true,true,true,false,false
campus,283,true,true,true,true,false,false
campus,284,true,true,false,false,false,false
campus,285,false,false,false,false,true,true
campus,286,true,true,false,false,false,false
alumni,287,false,true,false,false,false,false
campus,288,true,true,true,true,false,false
alumni,289,false,true,true,false,false,false
alumni,290,false,true,true,true,false,true
campus,291,true,true,false,false,false,false
campus,292,true,true,false,false,false,false
campus,293,false,false,false,false,true,false
campus,294,false,true,true,true,false,false
campus,295,true,true,false,false,false,false
alumni,296,false,true,false,false,false,true
campus,297,true,true,false,false,false,false
campus,298,true,true,false,false,false,false
campus,299,true,true,false,false,false,false
campus,300,false,false,true,true,false,true
campus,301,true,true,false,false,false,false
campus,302,true,true,false,false,false,false
campus,303,true,true,false,false,false,false
campus,304,true,true,false,false,false,false
campus,305,true,true,false,false,false,false
campus,306,true,true,false,false,false,false
campus,307,true,true,true,true,false,false
campus,308,true,true,false,false,false,false
alumni,309,false,true,false,false,false,false
campus,310,false,false,true,true,false,true
campus,311,true,true,false,false,false,false
campus,312,true,true,false,false,false,false
alumni,313,false,true,true,false,false,true
alumni,314,false,true,true,false,false,false
campus,315,true,true,false,false,false,false
campus,316,true,false,true,true,false,false
campus,317,false,true,true,true,false,false
campus,318,true,true,false,false,false,false
campus,319,false,false,false,false,true,false
campus,320,false,false,false,false,true,false
campus,321,true,true,false,false,false,false
alumni,322,false,true,true,true,false,true
campus,323,false,true,false,false,false,true
campus,324,true,true,false,false,false,false
campus,325,true,true,false,false,false,false
alumni,326,false,true,true,true,false,false
campus,327,true,false,false,false,false,false
campus,328,false,false,false,false,false,true
campus,329,false,false,false,false,true,false
campus,330,true,true,false,false,false,false
campus,331,false,false,false,false,true,true
campus,332,true,true,false,false,false,false
campus,333,true,true,false,false,false,false
campus,334,true,true,false,false,false,false
campus,335,false,false,false,false,true,false
campus,336,true,true,false,false,false,false
alumni,337,false,true,true,true,false,false
campus,338,true,true,false,false,false,false
campus,339,true,true,false,false,false,false
alumni,340,false,true,true,true,false,true
campus,341,false,false,false,false,true,false
alumni,342,false,true,true,false,false,false
campus,343,true,true,true,true,false,false
campus,344,true,true,false,false,false,false
campus,345,true,true,false,false,false,false
campus,346,true,true,false,false,false,false
campus,347,true,true,false,false,false,false
alumni,348,false,true,false,false,true,true
campus,349,false,false,false,false,true,false
campus,350,true,true,false,false,false,false
campus,351,false,true,true,true,false,true
campus,352,false,true,true,true,false,true
campus,353,false,false,false,false,true,false
campus,354,true,true,false,false,false,false
campus,355,true,true,false,false,false,false
alumni,356,false,true,false,false,false,false
alumni,357,false,true,false,false,false,false
alumni,358,false,true,true,true,false,false
campus,359,true,true,false,false,false,false
campus,360,true,true,false,false,false,false
campus,361,true,true,false,false,false,false
alumni,362,false,true,false,false,false,true
campus,363,true,true,false,false,false,false
alumni,364,false,true,true,true,false,false
campus,365,true,true,true,true,false,false
campus,366,true,true,false,false,false,false
alumni,367,false,true,false,false,true,true
campus,368,true,true,false,false,false,false
campus,369,false,false,false,false,true,false
alumni,370,false,true,false,false,false,false
campus,371,false,false,false,false,true,true
campus,372,true,true,false,false,true,true
campus,373,true,true,false,false,false,false
alumni,374,false,true,false,false,false,true
alumni,375,false,true,true,true,false,true
campus,376,false,false,false,false,true,true
campus,377,true,true,false,false,false,false
campus,378,false,false,true,false,false,false
alumni,379,false,true,true,true,false,true
campus,380,false,false,true,true,false,false
campus,381,true,true,false,false,false,false
alumni,382,false,true,false,false,false,true
campus,383,true,false,false,false,false,false
campus,384,true,true,false,false,false,false
campus,385,true,true,true,false,false,false
alumni,386,false,true,true,true,false,false
alumni,387,false,true,true,false,false,false
campus,388,true,true,true,true,false,false
campus,389,true,false,false,false,true,false
campus,391,true,true,false,false,false,false
campus,392,true,true,false,false,false,false
campus,393,true,true,false,false,false,false
campus,394,true,false,false,false,true,false
campus,395,true,true,false,false,false,false
campus,396,true,true,false,false,false,false
campus,397,true,true,false,false,false,false
alumni,398,false,true,true,true,false,false
campus,399,true,true,false,false,false,false
campus,400,true,true,false,false,false,false
campus,401,false,false,false,false,true,true
campus,403,false,false,false,false,true,true
campus,404,false,true,true,true,false,false
campus,405,true,true,false,false,false,false
campus,406,true,true,false,false,false,false
alumni,407,false,true,false,false,true,true
campus,408,true,true,false,false,false,false
alumni,409,false,true,true,true,false,false
campus,410,true,true,false,false,false,false
campus,411,true,true,false,false,false,false
campus,412,false,true,false,false,true,true
alumni,413,false,true,true,true,false,false
campus,414,true,true,false,false,false,false
campus,415,true,true,false,false,false,false
campus,416,true,true,false,false,false,false
campus,417,false,false,false,false,true,false
campus,418,false,false,false,false,true,false
campus,419,true,true,false,false,false,false
campus,420,true,true,false,false,false,false
campus,421,true,false,false,false,true,false
campus,422,true,false,false,false,true,true
campus,423,true,true,false,false,false,false
campus,424,false,false,false,false,true,false
campus,425,false,false,true,true,false,true
campus,426,false,true,false,false,false,false
campus,427,true,true,false,false,false,false
alumni,428,false,true,true,false,false,false
campus,430,false,false,false,false,true,false
campus,431,false,false,false,false,true,false
campus,432,true,true,false,false,false,false
alumni,433,false,true,true,true,false,true
alumni,434,false,true,true,true,false,false
alumni,435,false,true,false,false,true,true
alumni,436,false,true,true,true,false,true
campus,437,true,true,false,false,true,true
campus,438,false,false,false,false,true,false
campus,439,false,true,true,true,false,true
campus,440,true,true,false,false,false,false
campus,441,true,true,false,false,false,false
campus,442,false,false,false,false,true,false
campus,443,false,true,true,false,false,false
alumni,444,false,true,false,false,false,true
campus,445,true,true,false,false,false,false
campus,446,true,true,false,false,false,false
campus,447,false,false,false,false,true,true
campus,448,true,true,true,false,false,false
campus,449,true,true,true,true,false,false
campus,450,false,true,false,false,true,true
campus,451,false,true,false,false,false,false
alumni,452,false,true,false,false,false,false
campus,453,false,false,false,false,true,false
campus,454,true,true,false,false,false,false
campus,455,false,false,false,false,false,false
campus,456,false,false,false,false,true,true
campus,457,true,true,false,false,false,false
alumni,458,false,true,false,false,false,false
campus,459,true,true,false,false,true,true
alumni,460,false,true,true,false,false,false
campus,461,true,true,false,false,false,false
campus,462,false,false,true,true,false,false
campus,463,false,true,false,false,true,true
campus,464,true,true,false,false,false,false
alumni,466,false,true,false,false,false,true
campus,467,false,true,false,false,true,true
campus,468,true,true,false,false,false,false
campus,469,false,false,true,true,false,false
alumni,470,false,true,true,true,false,false
campus,471,true,true,true,false,false,false
campus,472,true,true,false,false,false,false
campus,473,true,true,false,false,true,false
campus,474,true,true,false,false,false,false
alumni,475,false,true,true,true,false,false
campus,476,false,false,false,false,true,true
campus,477,true,true,false,false,false,false
alumni,478,false,true,true,true,false,false
campus,479,true,true,false,false,false,false
campus,480,true,true,false,false,false,false
campus,481,true,true,false,false,false,false
alumni,482,false,true,false,false,true,true
campus,483,false,false,false,false,true,false
alumni,484,false,true,true,true,false,true
campus,485,true,true,false,false,false,false
alumni,486,false,true,true,true,false,true
campus,487,true,true,false,false,false,false
alumni,488,false,true,true,false,false,true
campus,489,true,true,true,true,false,false
campus,490,true,true,false,false,false,false
campus,491,false,true,false,false,false,false
alumni,492,false,true,true,true,false,false
campus,493,false,false,false,false,true,false
campus,494,false,true,false,false,true,true
campus,495,true,true,false,false,false,false
campus,496,true,true,false,false,false,false
alumni,497,false,true,true,true,false,false
campus,498,true,true,true,true,false,true
campus,499,true,true,false,false,false,false
alumni,500,false,true,true,true,false,true
alumni,501,false,true,false,false,true,true
alumni,502,false,true,true,true,false,false
campus,503,true,true,false,false,false,false
campus,504,true,true,false,false,false,false
campus,505,true,true,false,false,false,false
campus,506,true,true,false,false,false,false
campus,507,true,false,false,false,true,true
campus,508,false,false,false,false,true,true
campus,509,false,false,false,false,true,false
campus,510,true,true,false,false,false,false
alumni,511,false,true,true,true,false,false
campus,512,true,false,false,false,true,true
campus,513,false,false,false,false,true,false
campus,514,false,false,false,false,true,false
campus,515,true,true,false,false,false,false
campus,516,true,true,false,false,false,true
campus,517,true,true,false,false,false,false
campus,518,false,false,false,false,true,false
campus,519,true,true,false,false,false,false
campus,520,false,false,false,false,true,true
campus,521,false,false,false,false,true,false
campus,522,true,true,false,false,false,false
alumni,523,false,true,false,false,false,false
alumni,524,false,true,true,true,false,false
campus,525,true,true,false,false,false,false
campus,526,true,true,false,false,false,false
alumni,527,false,true,false,false,false,false
campus,528,true,true,false,false,false,false
campus,529,false,false,false,false,false,false
campus,530,true,true,true,true,false,false
alumni,531,false,true,true,true,false,true
campus,532,false,false,false,false,true,false
campus,533,false,false,false,false,true,false
campus,534,false,false,false,false,true,false
campus,535,false,false,false,false,true,false
campus,536,true,true,false,false,false,false
alumni,537,false,true,false,false,false,false
campus,538,true,false,true,false,false,false
campus,539,false,false,false,false,true,false
campus,540,false,false,false,false,true,false
campus,541,true,true,false,false,false,false
alumni,542,false,true,true,true,false,false
campus,543,true,true,false,false,false,false
campus,544,true,true,false,false,false,false
campus,546,false,false,false,false,true,true
campus,547,true,true,false,false,false,false
campus,548,false,true,false,false,false,true
campus,549,false,false,false,false,true,true
campus,550,true,true,false,false,false,false
campus,551,true,true,false,false,false,false
campus,552,true,true,false,false,false,false
alumni,553,false,true,true,false,false,false
campus,554,true,true,false,false,false,false
campus,555,true,true,false,false,false,false
campus,556,true,true,false,false,false,false
alumni,557,false,true,true,true,false,true
campus,558,false,true,false,false,true,true
alumni,559,false,true,true,true,false,true
campus,560,true,true,false,false,false,false
campus,561,false,true,false,false,true,true
campus,562,false,true,false,false,true,true
alumni,563,false,false,false,false,true,true
campus,564,true,true,false,false,false,false
alumni,565,false,true,true,true,false,false
alumni,566,false,true,true,false,false,true
campus,567,true,true,false,false,false,false
campus,568,true,true,false,false,false,false
campus,569,true,true,false,false,false,false
campus,570,false,false,false,false,true,false
alumni,571,false,true,false,false,true,true
campus,572,false,false,false,false,true,false
alumni,573,false,true,false,false,false,false
campus,574,false,false,false,false,true,false
campus,575,true,true,false,false,false,false
campus,576,true,true,false,false,false,false
alumni,577,false,true,true,true,false,false
alumni,578,false,true,false,false,false,false
campus,579,false,false,false,false,true,true
campus,580,true,true,false,false,false,false
alumni,581,false,true,false,false,false,true
campus,582,true,true,false,false,false,false
alumni,583,false,true,true,true,false,true
campus,584,true,true,false,false,false,false
campus,585,true,true,false,false,false,false
campus,586,true,false,false,false,true,true
campus,587,true,true,false,false,false,false
campus,588,false,false,false,false,true,false
campus,589,true,true,false,false,false,false
campus,590,true,false,true,true,false,false
campus,591,true,true,false,false,false,false
campus,592,true,true,false,false,false,false
campus,593,true,true,false,false,false,false
campus,594,true,true,true,false,false,false
alumni,595,false,true,false,false,false,false
campus,596,true,true,false,false,false,false
campus,597,true,true,false,false,false,false
alumni,598,false,true,false,false,false,true
campus,599,true,true,false,false,false,false
campus,600,true,true,false,false,false,false
campus,601,false,true,false,false,true,true
campus,602,false,false,false,false,true,true
campus,603,true,true,false,false,false,false
campus,604,false,false,true,true,false,false
campus,605,false,false,false,false,true,false
campus,606,true,true,false,false,false,false
campus,607,false,true,false,false,false,false
campus,608,false,false,false,false,true,true
campus,609,true,true,false,false,false,false
campus,610,false,false,false,false,true,false
campus,611,true,true,false,false,false,false
campus,612,true,true,false,false,false,false
campus,613,true,true,false,false,false,false
campus,614,true,true,false,false,false,false
campus,615,false,false,false,false,true,false
campus,616,true,true,false,false,false,false
campus,617,false,false,false,false,true,false
campus,618,false,false,false,false,true,false
campus,619,false,true,false,false,false,false
alumni,620,false,true,false,false,false,false
campus,621,false,false,false,false,true,false
campus,622,false,true,false,false,true,true
alumni,623,false,true,true,true,false,false
alumni,624,false,true,true,true,false,false
campus,625,true,true,false,false,false,false
campus,626,true,true,false,false,false,false
campus,627,true,true,false,false,false,false
campus,628,true,true,false,false,false,false
campus,629,false,false,false,false,true,false
alumni,630,false,true,true,true,false,true
campus,631,false,false,false,false,true,false
campus,632,true,true,false,false,false,false
campus,633,true,true,false,false,false,false
campus,634,true,true,false,false,false,false
campus,635,true,true,false,false,false,false
campus,636,false,false,false,false,true,true
campus,637,false,false,false,false,true,false
campus,638,true,true,false,false,false,false
alumni,639,false,true,true,true,false,true
campus,640,false,false,true,true,false,false
campus,641,true,true,false,false,false,false
campus,642,true,true,false,false,false,false
campus,643,true,true,false,false,true,true
alumni,644,false,true,true,false,false,false
campus,645,true,true,true,true,false,false
alumni,646,false,true,false,false,false,false
campus,647,true,true,true,true,false,false
alumni,648,false,true,false,false,false,true
campus,649,true,true,false,false,false,false
campus,650,true,true,false,false,false,false
campus,651,true,true,true,false,false,false
alumni,652,false,true,false,false,false,false
campus,653,true,true,false,false,false,false
campus,654,true,true,false,false,false,false
campus,655,true,true,true,false,false,false
campus,656,true,true,false,false,false,false
alumni,657,false,true,true,true,false,false
alumni,658,false,true,true,false,false,false
campus,659,true,true,false,false,false,false
campus,660,true,true,false,false,false,false
campus,661,true,true,false,false,false,false
alumni,662,false,true,false,false,false,true
alumni,663,false,true,false,false,false,false
campus,664,true,true,false,false,false,false
campus,665,true,false,false,false,true,false
alumni,666,false,true,true,true,false,true
campus,667,true,true,false,false,false,false
campus,668,false,false,false,false,true,false
alumni,669,false,true,true,true,false,true
campus,670,true,true,false,false,false,false
alumni,671,false,true,true,true,false,false
alumni,672,false,true,true,false,false,true
campus,673,true,true,false,false,false,false
alumni,674,false,true,true,true,false,true
campus,675,true,true,false,false,false,false
alumni,676,false,true,false,false,false,true
campus,677,true,true,false,false,false,false
campus,678,true,true,false,false,false,false
campus,679,true,true,false,false,false,false
campus,680,true,true,false,false,false,false
campus,681,true,true,true,false,false,false
alumni,682,false,true,false,false,true,true
campus,683,true,true,false,false,false,false
alumni,684,false,true,true,true,false,true
campus,685,true,true,false,false,false,false
alumni,686,false,true,true,true,false,false
alumni,687,false,true,false,false,false,true
campus,688,true,true,true,true,false,false
alumni,689,false,true,true,false,false,false
campus,690,true,true,false,false,false,false
campus,691,true,true,false,false,false,false
campus,692,true,true,false,false,false,false
campus,693,false,false,false,false,true,true
campus,694,true,true,false,false,false,false
campus,695,true,true,false,false,false,false
alumni,696,false,true,false,false,false,false
campus,697,true,true,false,false,false,false
campus,698,true,true,false,false,false,false
campus,699,true,true,false,false,false,false
campus,700,true,true,false,false,false,false
alumni,701,false,true,false,false,false,false
alumni,702,false,true,true,true,false,false
alumni,703,false,true,true,false,false,false
alumni,704,false,true,true,false,false,false
campus,705,true,true,false,false,false,false
campus,706,false,false,false,false,true,false
alumni,707,false,true,true,true,false,false
campus,708,false,false,false,false,true,true
campus,709,true,true,false,false,false,false
campus,710,true,true,false,false,false,false
campus,711,false,false,false,false,true,false
campus,712,true,true,false,false,false,false
campus,713,true,true,false,false,false,false
campus,714,true,true,false,false,false,false
alumni,715,false,true,true,true,false,false
campus,716,true,true,true,true,false,false
campus,717,true,true,false,false,false,false
campus,718,false,true,true,false,false,false
campus,719,true,true,false,false,false,false
alumni,720,false,true,true,true,false,false
alumni,721,false,true,false,false,false,false
campus,722,true,true,false,false,false,false
alumni,723,false,true,false,false,true,true
campus,724,true,true,false,false,false,false
campus,725,true,true,true,false,false,false
campus,726,true,true,false,false,false,false
alumni,727,false,true,false,false,false,false
alumni,728,false,true,true,true,false,true
campus,729,true,true,false,false,false,false
campus,730,true,true,false,false,false,false
alumni,731,false,true,true,true,false,false
alumni,732,false,true,false,false,false,false
campus,733,true,true,false,false,false,false
campus,734,true,true,false,false,false,false
campus,735,false,false,false,false,true,false
campus,736,true,true,false,false,false,false
alumni,737,false,true,false,false,false,true
alumni,738,false,true,false,false,true,true
alumni,739,false,true,true,true,false,true
alumni,740,false,true,true,true,false,true
alumni,741,false,true,false,false,false,true
alumni,742,false,true,false,false,false,true
alumni,743,false,true,true,true,false,true
alumni,744,false,true,true,true,false,true
campus,745,true,false,false,false,true,false
campus,746,true,true,false,false,false,false
campus,747,false,false,false,false,true,false
alumni,748,false,true,true,true,false,false
alumni,749,false,true,false,false,false,true
alumni,750,false,true,false,false,false,false
campus,751,true,true,false,false,false,false
campus,752,true,true,false,false,false,false
campus,753,true,true,false,false,false,false
campus,754,true,true,false,false,false,false
alumni,755,false,true,false,false,false,true
campus,756,true,true,false,false,false,false
alumni,757,false,true,true,true,false,false
alumni,758,false,true,false,false,false,false
campus,759,true,true,false,false,false,false
campus,760,true,true,false,false,false,false
campus,761,true,true,false,false,false,false
campus,762,true,true,false,false,false,false
campus,763,true,true,false,false,false,false
alumni,764,false,true,true,true,false,true
campus,765,true,true,false,false,false,false
campus,766,true,true,true,true,false,false
campus,767,true,true,false,false,false,false
campus,768,true,true,false,false,false,false
campus,769,true,true,false,false,true,true
campus,770,true,false,false,false,false,false
campus,771,true,true,false,false,false,false
alumni,772,false,true,true,false,false,false
alumni,773,false,true,false,false,false,false
campus,774,true,true,false,false,false,false
campus,775,true,true,false,false,false,false
alumni,776,false,true,true,false,false,false
campus,777,true,true,false,false,false,false
alumni,778,false,true,true,true,false,true
campus,779,true,true,false,false,false,false
campus,780,true,true,false,false,false,false
campus,781,true,true,false,false,false,false
campus,782,true,true,false,false,false,false
alumni,783,false,true,false,false,true,true
alumni,784,false,true,true,true,false,false
alumni,785,false,true,true,false,false,true
campus,786,false,false,true,false,false,false
alumni,787,false,true,true,true,false,true
campus,788,true,true,false,false,false,false
alumni,789,false,true,true,true,false,false
campus,790,true,true,false,false,false,false
campus,791,true,true,false,false,false,false
alumni,792,false,false,false,false,true,true
campus,793,true,true,false,false,false,false
alumni,794,false,true,true,true,false,false
alumni,795,false,true,true,true,false,false
campus,796,true,true,false,false,false,false
campus,797,true,true,false,false,false,false
campus,798,true,true,false,false,false,false
campus,799,false,false,false,false,false,false
campus,800,true,true,false,false,false,false
campus,801,true,true,false,false,false,false
campus,802,false,true,false,false,true,true
campus,803,false,true,false,false,true,true
campus,804,true,true,false,false,false,false
campus,805,false,false,false,false,true,false
campus,806,true,true,false,false,false,false
campus,807,true,true,false,false,false,false
campus,808,true,true,false,false,false,false
campus,809,false,true,false,false,false,false
campus,810,false,false,false,false,true,false
campus,811,true,false,false,false,true,true
campus,812,false,false,false,false,true,true
campus,813,false,false,false,false,true,false
